Date,ATP
11/21/2018 16:00:00,10.63
11/22/2018 16:00:00,11.12
11/23/2018 16:00:00,11.29
11/26/2018 16:00:00,11.94
11/27/2018 16:00:00,12.97
11/28/2018 16:00:00,12.76
11/29/2018 16:00:00,13.87
11/30/2018 16:00:00,14.42
12/03/2018,14.06
12/04/2018,13.69
12/05/2018,13.69
12/06/2018,12.96
12/07/2018,12.69
12/10/2018,11.97
12/11/2018,11.97
12/12/2018,12.55
12/13/2018 16:00:00,13.05
12/14/2018 16:00:00,12.3
12/17/2018 16:00:00,12.84
12/18/2018 16:00:00,12.12
12/19/2018 16:00:00,11.98
12/20/2018 16:00:00,11.87
12/21/2018 16:00:00,11.76
12/24/2018 14:10:00,11.71
12/27/2018 16:00:00,12.42
12/28/2018 16:00:00,12.14
12/31/2018 14:10:00,12.4
1/02/2019,12
1/03/2019,11.98
1/04/2019,12.08
1/07/2019,12.94
1/08/2019,13.18
1/09/2019,13.6
1/10/2019,13.7
1/11/2019,13.53
1/14/2019 16:00:00,13.05
1/15/2019 16:00:00,13.57
1/16/2019 16:00:00,13.92
1/17/2019 16:00:00,14.25
1/18/2019 16:00:00,16.1
1/21/2019 16:00:00,15.25
1/22/2019 16:00:00,15.25
1/23/2019 16:00:00,15.24
1/24/2019 16:00:00,15.6
1/25/2019 16:00:00,16.24
1/29/2019 16:00:00,15.71
1/30/2019 16:00:00,15.72
1/31/2019 16:00:00,15.91
2/01/2019,16.21
2/04/2019,16.35
2/05/2019,16.86
2/06/2019,17.67
2/07/2019,17.58
2/08/2019,17.1
2/11/2019,17.14
2/12/2019,17.8
2/13/2019 16:00:00,17.59
2/14/2019 16:00:00,18.36
2/15/2019 16:00:00,18.57
2/18/2019 16:00:00,18.87
2/19/2019 16:00:00,18.92
2/20/2019 16:00:00,17.44
2/21/2019 16:00:00,17.01
2/22/2019 16:00:00,17.2
2/25/2019 16:00:00,20.5
2/26/2019 16:00:00,18.15
2/27/2019 16:00:00,17.64
2/28/2019 16:00:00,18.44
3/01/2019,19.57
3/04/2019,19.99
3/05/2019,19.9
3/06/2019,19.54
3/07/2019,19.06
3/08/2019,19.63
3/11/2019,20.21
3/12/2019,20.75
3/13/2019 16:00:00,20.16
3/14/2019 16:00:00,20.8
3/15/2019 16:00:00,20.55
3/18/2019 16:00:00,20.6
3/19/2019 16:00:00,20.63
3/20/2019 16:00:00,20.76
3/21/2019 16:00:00,20.5
3/22/2019 16:00:00,20.65
3/25/2019 16:00:00,19.55
3/26/2019 16:00:00,19.6
3/27/2019 16:00:00,19.97
