Date,BHP
11/21/2018 16:00:00,31.6
11/22/2018 16:00:00,31.78
11/23/2018 16:00:00,31.55
11/26/2018 16:00:00,30.43
11/27/2018 16:00:00,30.87
11/28/2018 16:00:00,30.61
11/29/2018 16:00:00,30.98
11/30/2018 16:00:00,30.69
12/03/2018,31.82
12/04/2018,31.62
12/05/2018,31.83
12/06/2018,31.4
12/07/2018,31.18
12/10/2018,31.29
12/11/2018,31.72
12/12/2018,32.19
12/13/2018 16:00:00,32.81
12/14/2018 16:00:00,32.4
12/17/2018 16:00:00,33.53
12/18/2018 16:00:00,33.5
12/19/2018 16:00:00,33.49
12/20/2018 16:00:00,32.62
12/21/2018 16:00:00,33.36
12/24/2018 14:10:00,33.5
12/27/2018 16:00:00,34.15
12/28/2018 16:00:00,33.95
12/31/2018 14:10:00,34.23
1/02/2019,33.68
1/03/2019,33.68
1/04/2019,33.38
1/07/2019,34.39
1/08/2019,34.43
1/09/2019,34.3
1/10/2019,33.14
1/11/2019,32.79
1/14/2019 16:00:00,32.71
1/15/2019 16:00:00,33.06
1/16/2019 16:00:00,32.93
1/17/2019 16:00:00,32.87
1/18/2019 16:00:00,33.11
1/21/2019 16:00:00,33.2
1/22/2019 16:00:00,32.77
1/23/2019 16:00:00,32.63
1/24/2019 16:00:00,32.62
1/25/2019 16:00:00,33.05
1/29/2019 16:00:00,33.74
1/30/2019 16:00:00,34.6
1/31/2019 16:00:00,34.83
2/01/2019,35
2/04/2019,35
2/05/2019,35.39
2/06/2019,35.98
2/07/2019,35.87
2/08/2019,35.33
2/11/2019,36.04
2/12/2019,36.28
2/13/2019 16:00:00,36.08
2/14/2019 16:00:00,36.67
2/15/2019 16:00:00,36.47
2/18/2019 16:00:00,37
2/19/2019 16:00:00,37.01
2/20/2019 16:00:00,37.94
2/21/2019 16:00:00,37.85
2/22/2019 16:00:00,37.69
2/25/2019 16:00:00,38.03
2/26/2019 16:00:00,37.55
2/27/2019 16:00:00,37.68
2/28/2019 16:00:00,37.23
3/01/2019,37.18
3/04/2019,37.62
3/05/2019,37.3
3/06/2019,37.62
3/07/2019,37.37
3/08/2019,36.88
3/11/2019,36.52
3/12/2019,36.91
3/13/2019 16:00:00,36.87
3/14/2019 16:00:00,37.16
3/15/2019 16:00:00,36.48
3/18/2019 16:00:00,36.98
3/19/2019 16:00:00,37.59
3/20/2019 16:00:00,37.2
3/21/2019 16:00:00,37.68
3/22/2019 16:00:00,37.61
3/25/2019 16:00:00,37.13
3/26/2019 16:00:00,37.55
3/27/2019 16:00:00,37.9
3/28/2019 16:00:00,38.24
3/29/2019 16:00:00,38.49
4/01/2019,39.05
4/02/2019,39.03
4/03/2019,39.91
4/04/2019,39.42
4/05/2019,39.22
4/08/2019,39.89
4/09/2019,40.03
4/10/2019,39.89
4/11/2019,39.64
4/12/2019,39.58
4/15/2019 16:00:00,39.54
4/16/2019 16:00:00,39.37
4/17/2019 16:00:00,38.3
4/18/2019 16:00:00,38.23
4/23/2019 16:00:00,38.33
4/24/2019 16:00:00,38.2
4/26/2019 16:00:00,37.6
4/29/2019 16:00:00,37.82
4/30/2019 16:00:00,37.4
5/01/2019,37.48
5/02/2019,37.02
5/03/2019,36.94
5/06/2019,36.8
5/07/2019,37.3
5/08/2019,37.18
5/09/2019,36.98
5/10/2019,36.8
5/13/2019 16:00:00,36.93
5/14/2019 16:00:00,36.52
5/15/2019 16:00:00,37.2
5/16/2019 16:00:00,37.54
5/17/2019 16:00:00,38.46
5/20/2019 16:00:00,38.21
5/21/2019 16:00:00,37.94
5/22/2019 16:00:00,38.07
5/23/2019 16:00:00,37.32
5/24/2019 16:00:00,37.45
5/27/2019 16:00:00,37.94
5/28/2019 16:00:00,38.6
5/29/2019 16:00:00,38.36
5/30/2019 16:00:00,37.7
5/31/2019 16:00:00,37.76
6/03/2019,36.81
6/04/2019,37.31
6/05/2019,37.54
6/06/2019,37.05
6/07/2019,37.84
6/11/2019,38.7
6/12/2019,39.75
6/13/2019 16:00:00,39.56
6/14/2019 16:00:00,40.3
6/17/2019 16:00:00,40.16
6/18/2019 16:00:00,40.16
6/19/2019 16:00:00,40.98
6/20/2019 16:00:00,40.85
6/21/2019 16:00:00,41.03
6/24/2019 16:00:00,41.2
6/25/2019 16:00:00,41.24
6/26/2019 16:00:00,41.16
6/27/2019 16:00:00,41.95
6/28/2019 16:00:00,41.16
7/01/2019,41.68
7/02/2019,42.04
7/03/2019,42.08
7/04/2019,41.85
7/05/2019,41.29
7/08/2019,40.56
7/09/2019,41.03
7/10/2019,40.96
7/11/2019,41.23
7/12/2019,40.97
7/15/2019 16:00:00,41
7/16/2019 16:00:00,41.16
7/17/2019 16:00:00,41.74
7/18/2019 16:00:00,41.12
7/19/2019 16:00:00,41.06
7/22/2019 16:00:00,41.34
7/23/2019 16:00:00,41.58
7/24/2019 16:00:00,41.33
7/25/2019 16:00:00,40.59
7/26/2019 16:00:00,40.85
7/29/2019 16:00:00,40.6
7/30/2019 16:00:00,40.83
7/31/2019 16:00:00,40.76
8/01/2019,40.26
8/02/2019,38.78
8/05/2019,37.38
8/06/2019,37.1
8/07/2019,36.75
8/08/2019,37.3
8/09/2019,37.29
8/12/2019,37.01
8/13/2019 16:00:00,37.01
8/14/2019 16:00:00,37.42
8/15/2019 16:00:00,36.39
8/16/2019 16:00:00,36.17
8/19/2019 16:00:00,36.25
8/20/2019 16:00:00,36.3
8/21/2019 16:00:00,35.25
8/22/2019 16:00:00,35.2
8/23/2019 16:00:00,35.42
8/26/2019 16:00:00,34.69
8/27/2019 16:00:00,34.95
8/28/2019 16:00:00,35.42
8/29/2019 16:00:00,35.5
8/30/2019 16:00:00,36.29
9/02/2019,36.58
9/03/2019,36.43
9/04/2019,36.32
9/05/2019,36.07
9/06/2019,36.31
9/09/2019,36.13
9/10/2019,36.32
9/11/2019,36.92
9/12/2019,36.97
9/13/2019 16:00:00,37.13
9/16/2019 16:00:00,38.3
9/17/2019 16:00:00,37.89
9/18/2019 16:00:00,37.79
9/19/2019 16:00:00,37.68
9/20/2019 16:00:00,37.75
9/23/2019 16:00:00,37.62
9/24/2019 16:00:00,37.25
9/25/2019 16:00:00,36.53
9/26/2019 16:00:00,36.5
9/27/2019 16:00:00,36.84
9/30/2019 16:00:00,36.72
10/01/2019,37
10/02/2019,36.3
10/03/2019,35.15
10/04/2019,35.3
10/07/2019,35.38
10/08/2019,35.61
10/09/2019,35.13
10/10/2019,35.07
10/11/2019,35.82
10/14/2019 16:00:00,36.53
10/15/2019 16:00:00,36.08
10/16/2019 16:00:00,36.04
10/17/2019 16:00:00,34.86
10/18/2019 16:00:00,34.79
10/21/2019 16:00:00,34.98
10/22/2019 16:00:00,35.39
10/23/2019 16:00:00,35.4
10/24/2019 16:00:00,35.75
10/25/2019 16:00:00,35.77
10/28/2019 16:00:00,36.17
10/29/2019 16:00:00,36.62
10/30/2019 16:00:00,36.2
10/31/2019 16:00:00,35.95
11/01/2019,35.7
11/04/2019,36.48
11/05/2019,36.95
11/06/2019,37.5
11/07/2019,37.35
11/08/2019,37.3
11/11/2019,37.18
11/12/2019,37.1
11/13/2019 16:00:00,36.79
11/14/2019 16:00:00,36.81
11/15/2019 16:00:00,37.28
11/18/2019 16:00:00,37.36
11/19/2019 16:00:00,37.47
11/20/2019 16:00:00,37.24
11/21/2019 16:00:00,36.73
11/22/2019 16:00:00,37.19
11/25/2019 16:00:00,37.85
11/26/2019 16:00:00,37.9
11/27/2019 16:00:00,38.35
11/28/2019 16:00:00,38.5
11/29/2019 16:00:00,38.23
12/02/2019,38.31
12/03/2019,37.77
12/04/2019,36.83
12/05/2019,37.41
12/06/2019,37.36
12/09/2019,38.05
12/10/2019,38.46
12/11/2019,38.6
12/12/2019,38.6
12/13/2019 16:00:00,39.35
12/16/2019 16:00:00,39.99
12/17/2019 16:00:00,40.2
12/18/2019 16:00:00,40.05
12/19/2019 16:00:00,39.79
12/20/2019 16:00:00,39.72
12/23/2019 16:00:00,39.22
12/24/2019 14:10:00,39.23
12/27/2019 16:00:00,39.64
12/30/2019 16:00:00,39.42
12/31/2019 14:10:00,38.92
1/02/2020,38.95
1/03/2020,39.15
1/06/2020,39.4
1/07/2020,39.55
1/08/2020,39.57
1/09/2020,40.03
1/10/2020,39.9
1/13/2020 16:00:00,39.53
1/14/2020 16:00:00,40.05
1/15/2020 16:00:00,40.18
1/16/2020 16:00:00,40.13
1/17/2020 16:00:00,40.6
1/20/2020 16:00:00,41.24
1/21/2020 16:00:00,41.2
1/22/2020 16:00:00,41.21
1/23/2020 16:00:00,41.08
1/24/2020 16:00:00,40.45
1/28/2020 16:00:00,39.1
1/29/2020 16:00:00,39.34
1/30/2020 16:00:00,39
1/31/2020 16:00:00,39.4
2/03/2020,38.25
2/04/2020,38.31
2/05/2020,38.89
2/06/2020,39.54
2/07/2020,38.77
2/10/2020,38.4
2/11/2020,38.56
2/12/2020,38.4
2/13/2020 16:00:00,38.54
2/14/2020 16:00:00,38.65
2/17/2020 16:00:00,38.47
2/18/2020 16:00:00,38.78
2/19/2020 16:00:00,38.5
2/20/2020 16:00:00,38.52
2/21/2020 16:00:00,38.22
2/24/2020 16:00:00,37.09
2/25/2020 16:00:00,36.33
2/26/2020 16:00:00,35.55
2/27/2020 16:00:00,35.19
2/28/2020 16:00:00,33.6
3/02/2020,33.35
3/03/2020,33.99
3/04/2020,33.66
3/05/2020,33.42
3/06/2020,32.19
3/09/2020,27.55
3/10/2020,29.25
3/11/2020,28.52
3/12/2020,26.33
