Date,COL
11/21/2018 16:00:00,12.75
11/22/2018 16:00:00,12.75
11/23/2018 16:00:00,12.84
11/26/2018 16:00:00,13.11
11/27/2018 16:00:00,12.89
11/28/2018 16:00:00,12.7
11/29/2018 16:00:00,12.39
11/30/2018 16:00:00,11.71
12/03/2018,11.62
12/04/2018,11.49
12/05/2018,11.82
12/06/2018,12.1
12/07/2018,12.6
12/10/2018,12.49
12/11/2018,12.41
12/12/2018,12.23
12/13/2018 16:00:00,12.1
12/14/2018 16:00:00,11.72
12/17/2018 16:00:00,11.93
12/18/2018 16:00:00,11.72
12/19/2018 16:00:00,11.82
12/20/2018 16:00:00,12.05
12/21/2018 16:00:00,11.61
12/24/2018 14:10:00,11.7
12/27/2018 16:00:00,11.77
12/28/2018 16:00:00,12
12/31/2018 14:10:00,11.74
1/02/2019,11.71
1/03/2019,11.99
1/04/2019,11.81
1/07/2019,11.71
1/08/2019,11.72
1/09/2019,11.85
1/10/2019,11.66
1/11/2019,11.53
1/14/2019 16:00:00,11.89
1/15/2019 16:00:00,11.76
1/16/2019 16:00:00,11.88
1/17/2019 16:00:00,12.08
1/18/2019 16:00:00,12.32
1/21/2019 16:00:00,12.66
1/22/2019 16:00:00,12.74
1/23/2019 16:00:00,12.59
1/24/2019 16:00:00,12.45
1/25/2019 16:00:00,12.75
1/29/2019 16:00:00,12.59
1/30/2019 16:00:00,12.75
1/31/2019 16:00:00,12.51
2/01/2019,12.6
2/04/2019,12.59
2/05/2019,12.73
2/06/2019,12.41
2/07/2019,12.27
2/08/2019,12.39
2/11/2019,12.41
2/12/2019,12.26
2/13/2019 16:00:00,12.26
2/14/2019 16:00:00,12.5
2/15/2019 16:00:00,12.6
2/18/2019 16:00:00,12.59
2/19/2019 16:00:00,12.08
2/20/2019 16:00:00,11.37
2/21/2019 16:00:00,11.34
2/22/2019 16:00:00,11.53
2/25/2019 16:00:00,11.46
2/26/2019 16:00:00,11.55
2/27/2019 16:00:00,11.53
2/28/2019 16:00:00,11.33
3/01/2019,11.39
3/04/2019,11.4
3/05/2019,11.38
3/06/2019,11.38
3/07/2019,11.55
3/08/2019,11.42
3/11/2019,11.28
3/12/2019,11.23
3/13/2019 16:00:00,11.38
3/14/2019 16:00:00,11.25
3/15/2019 16:00:00,11.45
3/18/2019 16:00:00,11.45
3/19/2019 16:00:00,11.38
3/20/2019 16:00:00,11.66
3/21/2019 16:00:00,11.58
3/22/2019 16:00:00,11.68
3/25/2019 16:00:00,11.7
3/26/2019 16:00:00,11.96
3/27/2019 16:00:00,11.89
3/28/2019 16:00:00,11.83
3/29/2019 16:00:00,11.85
4/01/2019,12.02
4/02/2019,12.08
4/03/2019,12.2
4/04/2019,12.18
4/05/2019,12.12
4/08/2019,12.21
4/09/2019,12.24
4/10/2019,12.21
4/11/2019,12.1
4/12/2019,12.29
4/15/2019 16:00:00,12.42
4/16/2019 16:00:00,12.51
4/17/2019 16:00:00,12.4
4/18/2019 16:00:00,12.45
4/23/2019 16:00:00,12.45
4/24/2019 16:00:00,12.54
4/26/2019 16:00:00,12.6
4/29/2019 16:00:00,12.64
4/30/2019 16:00:00,12.61
5/01/2019,12.65
5/02/2019,12.6
5/03/2019,12.66
5/06/2019,12.64
5/07/2019,12.81
5/08/2019,12.74
5/09/2019,12.71
5/10/2019,12.7
5/13/2019 16:00:00,12.77
5/14/2019 16:00:00,12.65
5/15/2019 16:00:00,12.63
5/16/2019 16:00:00,12.57
5/17/2019 16:00:00,12.93
5/20/2019 16:00:00,12.92
5/21/2019 16:00:00,13.04
5/22/2019 16:00:00,12.93
5/23/2019 16:00:00,12.87
5/24/2019 16:00:00,12.43
5/27/2019 16:00:00,12.5
5/28/2019 16:00:00,12.57
5/29/2019 16:00:00,12.58
5/30/2019 16:00:00,12.53
5/31/2019 16:00:00,12.45
6/03/2019,12.54
6/04/2019,12.65
6/05/2019,12.74
6/06/2019,12.65
6/07/2019,12.94
6/11/2019,12.99
6/12/2019,13.21
6/13/2019 16:00:00,13.17
6/14/2019 16:00:00,13.01
6/17/2019 16:00:00,12.77
6/18/2019 16:00:00,13.21
6/19/2019 16:00:00,13.78
6/20/2019 16:00:00,13.83
6/21/2019 16:00:00,13.42
6/24/2019 16:00:00,13.11
6/25/2019 16:00:00,13.06
6/26/2019 16:00:00,13.22
6/27/2019 16:00:00,13.33
6/28/2019 16:00:00,13.35
7/01/2019,13.23
7/02/2019,13.37
7/03/2019,13.65
7/04/2019,13.65
7/05/2019,13.75
7/08/2019,13.65
7/09/2019,13.92
7/10/2019,14.03
7/11/2019,13.89
7/12/2019,13.97
7/15/2019 16:00:00,13.84
7/16/2019 16:00:00,13.86
7/17/2019 16:00:00,14.01
7/18/2019 16:00:00,13.96
7/19/2019 16:00:00,13.93
7/22/2019 16:00:00,13.72
7/23/2019 16:00:00,13.83
7/24/2019 16:00:00,13.98
7/25/2019 16:00:00,14.19
7/26/2019 16:00:00,14.17
7/29/2019 16:00:00,14.23
7/30/2019 16:00:00,14.31
7/31/2019 16:00:00,14.2
8/01/2019,14.05
8/02/2019,14.02
8/05/2019,13.83
8/06/2019,13.54
8/07/2019,13.72
8/08/2019,13.61
8/09/2019,13.52
8/12/2019,13.57
8/13/2019 16:00:00,13.5
8/14/2019 16:00:00,13.55
8/15/2019 16:00:00,13.15
8/16/2019 16:00:00,13.14
8/19/2019 16:00:00,13.2
8/20/2019 16:00:00,13.23
8/21/2019 16:00:00,13.24
8/22/2019 16:00:00,13.52
8/23/2019 16:00:00,13.84
8/26/2019 16:00:00,13.66
8/27/2019 16:00:00,13.56
8/28/2019 16:00:00,13.42
8/29/2019 16:00:00,13.62
8/30/2019 16:00:00,13.84
9/02/2019,13.89
9/03/2019,14.15
9/04/2019,14.22
9/05/2019,14.66
9/06/2019,14.69
9/09/2019,14.71
9/10/2019,14.77
9/11/2019,14.9
9/12/2019,14.85
9/13/2019 16:00:00,14.67
9/16/2019 16:00:00,14.75
9/17/2019 16:00:00,14.78
9/18/2019 16:00:00,14.67
9/19/2019 16:00:00,14.97
9/20/2019 16:00:00,14.78
9/23/2019 16:00:00,15
9/24/2019 16:00:00,15.37
9/25/2019 16:00:00,15.12
9/26/2019 16:00:00,15.15
9/27/2019 16:00:00,15.27
9/30/2019 16:00:00,15.4
10/01/2019,15.57
10/02/2019,15.24
10/03/2019,14.94
10/04/2019,14.9
10/07/2019,15.06
10/08/2019,15.28
10/09/2019,15.09
10/10/2019,15.2
10/11/2019,15.37
10/14/2019 16:00:00,15.19
10/15/2019 16:00:00,15.26
10/16/2019 16:00:00,15.4
10/17/2019 16:00:00,15.25
10/18/2019 16:00:00,15
10/21/2019 16:00:00,14.95
10/22/2019 16:00:00,14.94
10/23/2019 16:00:00,14.97
10/24/2019 16:00:00,14.95
10/25/2019 16:00:00,14.96
10/28/2019 16:00:00,14.56
10/29/2019 16:00:00,15.01
10/30/2019 16:00:00,14.84
10/31/2019 16:00:00,14.99
11/01/2019,15.02
11/04/2019,14.99
11/05/2019,14.99
11/06/2019,14.94
11/07/2019,15.28
11/08/2019,15.25
11/11/2019,15.44
11/12/2019,15.53
11/13/2019 16:00:00,15.16
11/14/2019 16:00:00,15.44
11/15/2019 16:00:00,15.65
11/18/2019 16:00:00,15.67
11/19/2019 16:00:00,15.72
11/20/2019 16:00:00,15.68
11/21/2019 16:00:00,15.71
11/22/2019 16:00:00,15.63
11/25/2019 16:00:00,15.68
11/26/2019 16:00:00,16.17
11/27/2019 16:00:00,16.34
11/28/2019 16:00:00,16.24
11/29/2019 16:00:00,16.26
12/02/2019,16.35
12/03/2019,15.67
12/04/2019,15.22
12/05/2019,15.35
12/06/2019,15.26
12/09/2019,15.3
12/10/2019,15.19
12/11/2019,15.3
12/12/2019,15.19
12/13/2019 16:00:00,15.09
